city,country,activities
Abha,Saudi arabia,"[""Abha Dam Lake"", ""Abha Palace Hotel"", ""Al Bastah District"", ""Al Muftaha Village"", ""Al Sahab Park"", ""Al Soudah"", ""Al Soudah Cable Car"", ""Al-Habala Valley"", ""Andalus Park"", ""Art Street"", ""Aseer National Park"", ""Asir National Park"", ""Boulevard"", ""Fatima Museum"", ""Fog Walkway (Al Dhabab Walkway)"", ""Green Mountain (Jabal Al Akhdar)"", ""Green Mountain (Jebel Al Akhdar)"", ""Habala Cable Car"", ""Honey Market"", ""Jabal Sawda"", ""New Abha Cable Car"", ""Paragliding"", ""Rijal Alma Village"", ""Rijal Almaa"", ""Rijal Almaa Historical Village"", ""Rijal Almaa Village"", ""Rose Garden"", ""Sarawat Mountain Hike"", ""Shada Palace"", ""Shamsan Ottoman Castle"", ""Tamniah Museum"", ""Traditional Asiri Food"", ""Tuesday Market""]"
Abu Dhabi,United Arab Emirates,"[""Al Ain Zoo"", ""Al Hudayriat Island"", ""Al Qana"", ""Corniche Beach"", ""Desert Camping"", ""Desert Safari"", ""Dhow Cruise Dinner"", ""Eastern Mangrove Lagoon National Park"", ""Eastern Mangroves Promenade"", ""Emirates Palace"", ""Emirates Palace Hotel"", ""Emirates Park Zoo"", ""Ferrari World"", ""Ferrari World Abu Dhabi"", ""Finz Restaurant"", ""Heritage Village"", ""Louvre Abu Dhabi"", ""Manarat Al Saadiyat"", ""Mangrove National Park"", ""Marina Mall"", ""Observation Deck at 300"", ""Qasr Al Hosn"", ""Qasr Al Watan"", ""Saadiyat Beach Club"", ""Saadiyat Island"", ""Sheikh Zayed Grand Mosque"", ""Sheikh Zayed Mosque"", ""Sir Bani Yas Island"", ""Souk Central Market"", ""The Corniche"", ""The Lobby Lounge"", ""Wahat Al Karama"", ""Warner Bros. World Abu Dhabi"", ""Yas Island Nightlife"", ""Yas Mall"", ""Yas Marina"", ""Yas Marina Circuit"", ""Yas Waterworld""]"
Achakar,Morocco,"[""Beach and Cap Spartel Lighthouse""]"
Ada Bojana,Montenegro,"[""Relax at Ada Bojana Beach""]"
Aden,Yamen,"[""Aden Beach"", ""Cisterns of Tawila"", ""Tawila Tanks""]"
Agadir,Morocco,"[""Agadir Beach"", ""Beach and Resort"", ""Souss-Massa National Park"", ""Tagine Tasting at Souk El Had""]"
Ajloun,Jordan,"[""Ajloun Castle""]"
Ajman,United Arab Emirates,"[""Al Tallah Camel Racecourse"", ""Al Zorah Nature Reserve""]"
Akbou,Algeria,"[""Traditional Markets""]"
Al Ahsa,Saudi arabia,"[""Al Ahsa Oasis""]"
Al Birk,Saudi arabia,"[""Al Birk Beach""]"
Al Hoota Cave,Oman,"[""Cave Exploration""]"
Al Hudaydah,Yamen,"[""Culinary Experience at JUNEED""]"
Al Khobar,Saudi arabia,"[""Half Moon Bay""]"
Al Mahrah Region,Yamen,"[""Hawf Protected Area""]"
Al Namas,Saudi arabia,"[""Al Namas Museum"", ""Wadi Tihama Hike""]"
Al Soudah,Saudi arabia,"[""Al Sahab Park (Clouds Park)""]"
Al Ula,Saudi arabia,"[""Al Ula Old Town"", ""Elephant Rock (Jabal AlFil)"", ""Helicopter Tour"", ""Maraya Concert Hall"", ""Stargazing in Gharameel""]"
Al-Magar,Saudi arabia,"[""Al Maqar Museum""]"
Al-Namas,Saudi arabia,"[""Al Majarda Forest"", ""Al Namas Museum"", ""Qahtan Fort"", ""The Flower Men of Al-Namas""]"
Al-Ula,Saudi arabia,"[""Al-Ula Oasis"", ""Al-Ula Old Town"", ""Elephant Rock"", ""Hegra (Mada'in Saleh)""]"
AlUla,Saudi arabia,"[""Al Gharameel Rock Formations"", ""AlUla Fresh Farm"", ""AlUla Oasis Night Walk"", ""AlUla Old Town Night Tour"", ""AlUla Stairway and Giant Swing"", ""AlUla on Wheels"", ""Camel Caravan at Night"", ""Dadan and Jabal Ikmah Night Tour"", ""Daimumah Caf\u00e9"", ""Dance Performances at AlJadidah"", ""Desert Buggy Adventure"", ""Desert Meditation Session"", ""Evening Hot Air Balloon Ride"", ""Face Rock"", ""Hand Rock"", ""Harrat Uwayrid Lookout Point"", ""Madrasat Addeera Night Visit"", ""Night Hike in Hidden Valley"", ""Night Market"", ""Night Photography Workshop"", ""Okto Restaurant at Harrat Viewpoint"", ""Rock Bridge"", ""Vessel Hole Rock"", ""Winter Park"", ""Zipline Adventure""]"
Albacete,Spain,"[""Lagunas de Ruidera""]"
Alexandria,Egypt,"[""Alban Makka"", ""Alban Swisra (Cheese Lovers\u2019 Heaven)"", ""Alexandria Corniche"", ""Alflah Restaurant"", ""Athineos Caf\u00e9"", ""Azza Ice Cream"", ""Balbaa Village for Seafood"", ""Bibliotheca Alexandrina"", ""Carob Amal"", ""Catacombs of Kom El Shoqafa"", ""Dahab Restaurant"", ""D\u00e9lices P\u00e2tisserie"", ""El Horreya Cafe"", ""El-Sheikh Wafik"", ""Fayrouz Restaurant"", ""Fish Market (Halaket El-Samak)"", ""Kalamari"", ""Koshary 3la El Sohkhn"", ""Liver & Sausage Street Food"", ""Mohamed Ahmed (Breakfast Spot)"", ""Mohamed Ahmed (Ful & Taameya)"", ""Mohamed Ahmed Restaurant"", ""Montazah Palace and Gardens"", ""Mori Sushi"", ""Octopus"", ""Qaitbay Citadel"", ""Royal Jewelry Museum"", ""Sari Shrimps"", ""Sea Bream"", ""Sweets Syrian Palace"", ""Tea Palace Island"", ""White and Blue (The Greek Club)"", ""Windsor Palace Hotel Rooftop Bar""]"
Alghero,Italy (sardinia),"[""Explore the Old Town"", ""Relax at Spiaggia di Maria Pia"", ""Snorkel at Bombarde Beach"", ""Take a Sunset Boat Tour"", ""Taste Lobster Catalan Style"", ""Try Mirto, Sardinia\u2019s Traditional Liqueur"", ""Visit Neptune\u2019s Grotto"", ""Visit the Nuraghe Palmavera"", ""Walk Along the Bastioni""]"
Algiers,Algeria,"[""Botanical Garden Hamma"", ""Dar Hassan Pasha Museum"", ""El Aurassi Hotel Bar"", ""Kasbah of Algiers"", ""Martyrs' Memorial (Makam E\u2019shaheed)"", ""Museum of Modern Art (MaMa)"", ""Notre Dame d\u2019Afrique""]"
Alicante,Spain,"[""Castillo de Santa B\u00e1rbara Secret Tunnels"", ""Cova Tallada Sea Cave""]"
Almería,Spain,"[""Mini Hollywood (Tabernas Desert)"", ""Playa de los Muertos""]"
Amalfi Coast,Italy,"[""Drive the Amalfi Coast"", ""Visit Positano""]"
Amman,Jordan,"[""Abu Ahmad Orient Sweets"", ""Abu Darwish Mosque"", ""Abu Jbara"", ""Abu Mahjoub"", ""Al Quds Restaurant"", ""Al-Balad"", ""Al-Dayaa"", ""Amman Food Tours"", ""Bab Al Yemen"", ""Bait Khairat Souf"", ""Beit Sitti"", ""Beit Sitti Cooking Class"", ""Citadel"", ""Fairmont Amman\u2019s Nur"", ""Fakhreldin"", ""Habiba"", ""Habibah Sweets"", ""Hashem Restaurant"", ""Jabal Al-Qala'a"", ""Jafra Caf\u00e9"", ""Jordan Heritage Restaurant"", ""Jordan Museum"", ""Jordanian Coffee Experience"", ""King Abdullah Mosque"", ""Maqloubeh"", ""Nur"", ""Old Signs Museum"", ""Rainbow Street"", ""Roman Theater"", ""Shawarma Reem"", ""Sitti Zama"", ""Sufra Restaurant"", ""Tannour Bread Experience"", ""Wild Jordan Center"", ""Zajal""]"
Amorgos,Greece,"[""Discover Agia Anna Beach"", ""Visit the Cliffside Monastery of Hozoviotissa""]"
Amwaj,Bahrain,"[""Amwaj Islands""]"
Anjouan,Comoros,"[""Anjouan Old Town"", ""Chissioua Mtsamboro"", ""Lac Dzialandz\u00e9"", ""Mount Ntingui Hike"", ""Tropical Plantations Tour"", ""Waterfalls of Anjouan""]"
Annaba,Algeria,"[""Basilica of St. Augustine"", ""Hippo Regius""]"
Antalya,Turkey,"[""Antalya Aquarium"", ""Antalya Archaeological Museum"", ""Antalya Marina"", ""Antalya Zoo"", ""Aspendos Theatre"", ""Beach Day at Lara"", ""Duden Waterfalls"", ""Hadrian's Gate"", ""Hidirlik Tower"", ""Kaleici (Old Town)"", ""Karaalioglu Park"", ""Karaalio\u011flu Park"", ""Konyaalti Beach"", ""Koprulu Canyon"", ""Manavgat Waterfall"", ""Olympos and Chimaera"", ""Perge Ancient City"", ""Phaselis Ancient City"", ""Termessos""]"
Aqaba,Jordan,"[""Aqaba Castle"", ""Diving"", ""Snorkeling""]"
Asilah,Morocco,"[""Beach and Arts Festival""]"
Asturias,Spain,"[""Bufones de Pr\u00eda"", ""Playa de Gulpiyuri""]"
Aswan,Egypt,"[""Abu Simbel Temples"", ""Aswan Felucca Ride"", ""Cultural Show at Old Cataract"", ""El Masry Restaurant"", ""Koshari El Shabrawy"", ""Nubian House Restaurant"", ""Nubian Village"", ""Nubian Village Home Cooking"", ""Nubian Village Visit"", ""Philae Temple""]"
Athens,Greece,"[""Explore Anafiotika"", ""Hidden Cave Church of Agios Nikolaos Ragavas"", ""Rooftop Cinema Experience"", ""Secret Underground Tunnels Tour"", ""Street Art Walk in Exarchia"", ""Traditional Greek Cooking Class""]"
Atlas Mountains,Morocco,"[""Ait Benhaddou"", ""Toubkal National Park""]"
Avila,Spain,"[""The Hidden Walkway on Avila\u2019s City Walls""]"
Ayia Napa,Cyprus,"[""Cape Greco and Blue Lagoon"", ""Cliff Jumping at Cape Greco"", ""Explore the Sea Caves"", ""Explore the Underwater Sculpture Museum"", ""Love Bridge"", ""Party at the Legendary Ayia Napa Nightclubs"", ""Relax at Nissi Beach"", ""Visit the Ayia Napa Monastery""]"
Azraq,Jordan,"[""Azraq Wetland Reserve""]"
Baakline,Lebanon,"[""Baakline Waterfalls""]"
Baalbek,Lebanon,"[""Baalbek International Festival"", ""Roman Ruins""]"
Badajoz,Spain,"[""La Codosera Natural Pools""]"
Badajoz (Extremadura),Spain,"[""Alcazaba of Badajoz""]"
Bar,Montenegro,"[""Discover Rumija Mountain"", ""Explore the Olive Tree of Mirovica"", ""Swim at Red Beach"", ""Tour the Old Bar (Stari Bar)"", ""Visit the Church of St. Jovan Vladimir"", ""Visit the King Nikola\u2019s Palace in Bar""]"
Barcelona,Spain,"[""Antic Teatre"", ""Avinguda del Tibidabo"", ""Bar El Bosc de Les Fades"", ""Bar Marsella"", ""Bar Mut"", ""Biblioteca Ar\u00fas"", ""Bunkers del Carmel"", ""Cactus Garden (Jardins de Moss\u00e8n Costa i Llobera)"", ""CaixaForum"", ""Can Framis Museum"", ""Can Masdeu"", ""Carmel Bunkers Night Picnic"", ""Carmel Market (Mercat del Carmel)"", ""Carrer de Petritxol"", ""Carrer de les Aig\u00fces"", ""Carrer del Bisbe"", ""Casa Amatller"", ""Casa Vicens"", ""Casa de les Punxes"", ""Cementiri de Montju\u00efc"", ""Cova Fumada"", ""El Born Centre de Cultura i Mem\u00f2ria"", ""El Bosc de Les Fades"", ""El Celler de Can Roca (Barcelona Location)"", ""El Pati Llimona"", ""El Refugi 307"", ""Espai Volart (Fundaci\u00f3 Vila Casas)"", ""Fossar de les Moreres"", ""F\u00e0brica Lehmann"", ""Gr\u00e0cia Neighborhood"", ""Hidden Beach at Platja de la Mar Bella"", ""Hidden Bodega: Bodega Maestrazgo"", ""Hidden Mosaic at Pla\u00e7a d\u2019Isidre Nonell"", ""Hidden Roman Columns (Temple of Augustus)"", ""Hidden Rooftop Garden at El Corte Ingl\u00e9s"", ""Hidden Rooftop at Museu d\u2019Hist\u00f2ria de Catalunya"", ""Hidden WWII Air-Raid Shelters in Gr\u00e0cia"", ""Hospital de Sant Pau"", ""Jardins de Laribal"", ""Jardins de Rubi\u00f3 i Lluch"", ""Jardins de la Tamarita"", ""Joan Mir\u00f3 Foundation"", ""La Caseta del Migdia"", ""La Confiteria"", ""La Escocesa"", ""La Xampanyeria (Can Paixano)"", ""MUHBA Tur\u00f3 de la Rovira"", ""Magic Fountain Light Show (off-peak times)"", ""Mas Ravetllat-Pla"", ""Mercat de Sant Antoni (Sundays)"", ""Mercat de la Concepci\u00f3"", ""Mirador de Sarri\u00e0"", ""Montju\u00efc Cactus Park"", ""Montju\u00efc Secret Slides"", ""Montju\u00efc\u2019s Hidden Gardens"", ""Museu de la M\u00fasica (Music Museum)"", ""Observatori Fabra"", ""Palau Bar\u00f3 de Quadras"", ""Parc de la Creueta del Coll"", ""Parc de la Pegaso"", ""Parc de les Aig\u00fces"", ""Parc del Guinard\u00f3"", ""Parc del Laberint d\u2019Horta"", ""Passatge de Sert"", ""Pedralbes Monastery"", ""Pla\u00e7a de Les Olles"", ""Pla\u00e7a de Sant Agust\u00ed Vell"", ""Pla\u00e7a de Sant Felip Neri"", ""Pla\u00e7a de Sant Gaiet\u00e0"", ""Pla\u00e7a de Sant Pere"", ""Pla\u00e7a de la Barceloneta"", ""Pla\u00e7a de la Concordia (Les Corts)"", ""Pla\u00e7a de la Vila de Gr\u00e0cia"", ""Pla\u00e7a de la Virreina"", ""Pla\u00e7a de la Virreina Jazz Nights"", ""Pla\u00e7a del Diamant"", ""Pla\u00e7a del Poble Roman\u00ed"", ""Pla\u00e7a d\u2019Osca (Sants)"", ""Poble Sec Tapas Crawl"", ""Poblenou Cemetery"", ""Port Vell Marina Walk"", ""Rambla del Poblenou"", ""Recinte Modernista de Sant Pau"", ""Refugi Antiaeri de la Pla\u00e7a del Diamant"", ""Sant Andreu Neighborhood"", ""Sant Andreu\u2019s Hidden Art Alley"", ""Sant Pau del Camp Monastery"", ""Santa Caterina Market"", ""Secret Rooftop Bars (El Born)"", ""Secret Terraces at Palau G\u00fcell"", ""Taller de Tapas (Poble Sec)"", ""Teatre Grec"", ""The Greenhouse of Parc de la Ciutadella"", ""The Kiss of Freedom Mural"", ""The Rooftop at Hotel Col\u00f3n"", ""The Secret Garden of Jardins de Can Sentmenat"", ""The Secret Rooftop at Hotel Pulitzer"", ""The Street of Umbrellas (Carrer de l\u2019Enric Granados)"", ""Torre Bellesguard"", ""Torre Gl\u00f2ries Observation Deck"", ""Underground Roman Ruins at MUHBA""]"
Batroun,Lebanon,"[""Batroun Nightlife"", ""Kfarhelda Waterfalls"", ""Phoenician Wall""]"
Beirut,Lebanon,"[""Beirut National Museum"", ""Beit Beirut"", ""Hamra Street"", ""Jeita Grotto"", ""Pigeon Rocks (Raouche)"", ""Sursock Museum""]"
Bejaia,Algeria,"[""Gouraya National Park""]"
Bijelo Polje,Montenegro,"[""Trek to Zabojsko Lake"", ""Visit the \u0110ur\u0111evi Stupovi Monastery"", ""Visit \u0110alovi\u0107a Cave""]"
Bilbao,Spain,"[""La Ribera Market Hidden Jazz Bar"", ""Pasaje de las Ladrilleras""]"
Billasmar,Saudi arabia,"[""Shada Mountain""]"
Bimmah Sinkhole,Oman,"[""Swimming""]"
Biogradska Gora National Park,Montenegro,"[""Explore Biogradska Lake""]"
Birgu (Vittoriosa),Malta,"[""Fort St. Angelo""]"
Bisha,Saudi arabia,"[""Al Soudah Park""]"
Bizerte,Tunisia,"[""Bizerte Beaches"", ""Caf\u00e9 Culture"", ""Cap Blanc"", ""Corniche Beach"", ""Dar El Kasbah"", ""Fort d'Espagne"", ""Great Mosque of Bizerte"", ""Ichkeul National Park"", ""Medina of Bizerte"", ""Museum of Wetlands"", ""Old Port of Bizerte"", ""Sidi El Mekki Mausoleum"", ""Spanish Fort""]"
Blue Nile Region,Sudan,"[""Dinder National Park""]"
Bodrum,Turkey,"[""Bar Street (Cumhuriyet Street)"", ""Bitez Beach"", ""Bodrum Amphitheatre"", ""Bodrum Bazaars"", ""Bodrum Castle"", ""Bodrum Marina"", ""Bodrum Maritime Museum"", ""Camel Beach"", ""Mausoleum of Halicarnassus"", ""Ortakent-Yah\u015fi Beach"", ""Pedasa Ancient City"", ""Sailing on a Gulet"", ""Turkish Bath (Hammam)"", ""Windmills of Bodrum"", ""Zeki Muren Arts Museum""]"
Bologna,Italy,"[""Try Traditional Bolognese Pasta""]"
Bosa,Italy (sardinia),"[""Climb to Malaspina Castle"", ""Explore the Colorful Streets of Bosa"", ""Explore the Painted Murals of Tinnura"", ""Take a Boat Trip on the Temo River"", ""Try Bosa\u2019s Famous Malvasia Wine""]"
Bouznika,Morocco,"[""Family-Friendly Beach""]"
Brač,Croatia,"[""Discover Dragon\u2019s Cave (Zmajeva \u0160pilja)"", ""Hike Vidova Gora"", ""Rock Climbing at Lo\u017ei\u0161\u0107a""]"
Budaiya,Bahrain,"[""Royal Camel Farm""]"
Budva,Montenegro,"[""Paragliding over Budva"", ""Party at Top Hill Nightclub"", ""Snorkeling at the Jaz Beach"", ""Visit Mogren Beach"", ""Visit St. Sava Church"", ""Walk the Budva Old Town and Citadel""]"
Burgos,Spain,"[""Atapuerca Archaeological Site"", ""Cartuja de Miraflores""]"
Bursa,Turkey,"[""Green Mosque and Tomb""]"
Byblos,Lebanon,"[""Byblos Castle"", ""Old Souks"", ""St. Jean Marc Church""]"
Cadiz,Spain,"[""Callej\u00f3n del Duende (Alley of the Spirit)"", ""Genov\u00e9s Park Hidden Cave Waterfall""]"
Cagliari,Italy (sardinia),"[""Explore the Molentargius Nature Park"", ""Explore the Roman Amphitheater"", ""Explore the Tower of the Elephant"", ""Hike to Sella del Diavolo"", ""Relax at Poetto Beach"", ""Shop at San Benedetto Market"", ""Take a Day Trip to Chia Beach"", ""Take a Sunset Aperitivo at Bastione di Saint Remy"", ""Try Fregola with Clams at Antica Cagliari"", ""Try Traditional Sardinian Cuisine at Sa Domu Sarda"", ""Visit the Basilica of San Saturnino"", ""Visit the Castello District"", ""Visit the Crypt of Santa Restituta""]"
Cairo,Egypt,"[""139 Pavilion Restaurant"", ""9 Pyramids Lounge"", ""Abdeen Palace"", ""Abou Tarek"", ""Abou Tarek (Koshari)"", ""Al Ahd Al Gadid Restaurant"", ""Al Fishawi Caf\u00e9"", ""Al Fishawy Caf\u00e9"", ""Al Ghouri Complex"", ""Al-Andalus Garden Visit"", ""Al-Azhar Mosque"", ""Al-Azhar Park"", ""Al-Azhar Park Visit"", ""Al-Azhar University"", ""Al-Hakim Mosque"", ""Al-Hussein Restaurant"", ""Al-Moez Street Performances"", ""Al-Muizz Street"", ""Al-Rifa'i and Sultan Hassan Mosques"", ""Authentic Egyptian Sweets"", ""Bab Zuweila"", ""Bayt Al-Suhaymi"", ""Bellies En-Route Cooking Class"", ""Cairo Botanical Gardens"", ""Cairo Food Week"", ""Cairo Jazz Club"", ""Cairo Opera House"", ""Cairo Opera House Dining"", ""Cairo Tower"", ""Citadel of Saladin"", ""Citadel of Salah El-Din"", ""Contemporary Art at Cairo Opera House"", ""Coptic Cairo"", ""Coptic Museum"", ""Dahshur"", ""Dinner Cruise on the Nile River"", ""Downtown Cairo Food Tour"", ""Downtown Cairo Walk"", ""Egyptian BBQ at Kebdet El Prince"", ""Egyptian Cooking & Market Experience"", ""Egyptian Museum"", ""Egyptian Museum Visit"", ""Egyptian Street Food Sampling"", ""El Malky Desserts"", ""El Prince (Imbaba)"", ""El Sawy Culture Wheel"", ""El Sawy Culturewheel"", ""Fasahet Somaya"", ""Felfela Restaurant"", ""Felucca Boat Ride on the Nile"", ""Felucca Picnic"", ""Felucca Ride on the Nile"", ""Feteer Meshaltet"", ""Garbage City and Cave Church"", ""Gezira Island"", ""Hamam Mashi"", ""Hanging Church"", ""Hawawshi El Refaey"", ""Ibn Battuta Mall"", ""Kebabgy Restaurant"", ""Khan El Khalili Bazaar"", ""Khan El Khalili Bazaar at Night"", ""Khan El Khalili Food Tour"", ""Khan El Khalili Street Food"", ""Khan el-Khalili Bazaar"", ""Koshari El Tahrir"", ""Koshary Abou Tarek"", ""Mandarine Koueider"", ""Modern Malls for Late-Night Shopping"", ""Moez Street"", ""Molokhya"", ""Mosque of Ibn Tulun"", ""Nighttime Boat Tour"", ""Nile Corniche Stroll"", ""Nile Dinner Cruise"", ""Nile River Cruise"", ""Om Hassan"", ""Open-Air Caf\u00e9s"", ""Pyramids of Giza"", ""Pyramids of Giza under a starry sky"", ""Rawi at Cairo Sheraton"", ""Rooftop Dining with Panoramic Views"", ""Saqqara"", ""Sound and Light Show at the Giza Plateau"", ""Studio Masr Restaurant"", ""Sufi Dance Performance at Al-Ghouri Complex"", ""Sufi Dance at Al-Ghouri Complex"", ""Taboula Restaurant"", ""Tentmakers\u2019 Market"", ""The Greek Club"", ""Theater Performance at Cultural Centers"", ""Traditional Egyptian Dinner with Live Music"", ""U Bistro & Bar"", ""Whirling Dervishes Show"", ""Zabbaleen\u2019s Garbage City"", ""Zamalek"", ""Zooba"", ""Zooba (Modern Egyptian Street Food)""]"
Canakkale,Turkey,"[""Gallipoli Battlefields""]"
Cantabria,Spain,"[""Comillas Gaud\u00ed\u2019s El Capricho"", ""Cueva El Soplao""]"
Cappadocia,Turkey,"[""Avanos Pottery Workshops"", ""Cavusin Village"", ""Derinkuyu Underground City"", ""G\u00f6reme Open Air Museum"", ""G\u00f6reme Town"", ""Horseback Riding"", ""Hot Air Balloon Ride"", ""Ihlara Valley Hike"", ""Love Valley Hike"", ""Pasabag (Monks Valley)"", ""Selime Monastery"", ""Sunset at Panorama Point"", ""Uchisar Castle"", ""Wine Tasting in \u00dcrg\u00fcp"", ""Zelve Open Air Museum""]"
Carbonia,Italy (sardinia),"[""Tour the Monte Sirai Archaeological Site""]"
Casablanca,Morocco,"[""Corniche"", ""Dessert at P\u00e2tisserie Bennis Habous"", ""Dine at La Sqala"", ""Dine at Le Petit Rocher"", ""Dine at Rick's Caf\u00e9"", ""Dining at Rick's Caf\u00e9"", ""Drink at Brooklyn Bar"", ""Drink at Le Cabestan"", ""Enjoy Live Music at Bodega"", ""Experience Shisha at La Sqala"", ""Hassan II Mosque"", ""Hidden Gem: March\u00e9 Central"", ""Night Stroll in Habous Quarter"", ""Party at Sky 28"", ""Quartier Habous"", ""Seafood Dining at Port de P\u00eache"", ""Visit Ain Diab Corniche"", ""Visit Maison B Restaurant & Bar""]"
Castellón,Spain,"[""Penyagolosa Natural Park""]"
Cedars,Lebanon,"[""Cedars of God""]"
Cetinje,Montenegro,"[""Explore the National Museum of Montenegro"", ""Visit King Nikola\u2019s Palace Museum"", ""Visit the Cetinje Monastery"", ""Visit the Lipska Cave""]"
Ceuta (Spanish North Africa),Spain,"[""Monte Hacho Secret Fort""]"
Chefchaouen,Morocco,"[""Akchour Waterfalls"", ""Authentic Moroccan Cooking Class"", ""Bridge of God"", ""Dessert at P\u00e2tisserie Aladdin"", ""Dine at Cafe Restaurant Beldi Bab Ssour"", ""Explore Local Bazaars"", ""Fresh Orange Juice"", ""Hammam Experience"", ""Hidden Gem: Local Family Cooking Classes"", ""Hike to the Spanish Mosque"", ""Hiking in the Rif Mountains"", ""Kasbah Museum"", ""Local Souk"", ""Plaza Uta el-Hammam"", ""Ras El Maa Waterfall"", ""Rooftop Cafes"", ""Take a Cooking Class"", ""Visit Hashish Farms"", ""Wander the Blue Streets""]"
Chenini,Tunisia,"[""Berber Village"", ""Berber Village of Chenini""]"
Cherchell,Algeria,"[""Cherchell Archaeological Museum"", ""Royal Mausoleum of Mauretania""]"
Chouwen,Lebanon,"[""Chouwen Lake""]"
Chénini,Tunisia,"[""Village Exploration""]"
Cinque Terre,Italy,"[""Hike Between the Villages"", ""Sunset at Manarola""]"
Comino,Malta,"[""Blue Lagoon"", ""Crystal Lagoon (Hidden Gem)""]"
Comoros Islands,Comoros,"[""Cooking Class in Moh\u00e9li"", ""Eco-Tourism Projects"", ""Island-Hopping Tour"", ""Local Market Visits"", ""Mangrove Exploration"", ""Photography Tours"", ""Traditional Festivals"", ""Whale Watching Tour"", ""Wildlife Safaris""]"
Constantine,Algeria,"[""Museum of Cirta"", ""Palace of Ahmed Bey"", ""Sidi M\u2019Cid Bridge""]"
Corfu,Greece,"[""Boat Trip to Paxos & Antipaxos"", ""Explore Old Perithia Village"", ""Hike to Angelokastro Castle"", ""Olive Oil Tasting at a Traditional Farm"", ""Secret Beach: Porto Timoni"", ""Visit the Achilleion Palace""]"
Costa Smeralda,Italy (sardinia),"[""Explore the Giants\u2019 Tombs of Coddu Vecchiu"", ""Go Wine Tasting in the Gallura Region"", ""Relax at Spiaggia del Principe"", ""Visit Porto Cervo Marina"", ""Visit the Maddalena Archipelago""]"
Cres,Croatia,"[""Explore Blue Cave on Cres Island""]"
